"Period","Stage","Subject","Map_Choice","District","Map","Effort"
23,"2","5","1","EDG",4,20
23,"2","6","1","EDG",4,10
23,"2","7","1","EDG",4,16
23,"2","8","1","EDG",4,10
24,"2","1","3","EDG",4,7
24,"2","2","5","EDG",4,0
24,"2","3","5","EDG",4,15
24,"2","4","2","EDG",4,40
24,"2","5","1","EDG",4,20
24,"2","6","1","EDG",4,16
24,"2","7","1","EDG",4,12
24,"2","8","1","EDG",4,10
25,"3","1","3","EDG",4,5
25,"3","2","2","EDG",4,20
25,"3","3","2","EDG",4,21
25,"3","4","4","EDG",4,40
25,"3","5","5","EDG",4,20
25,"3","6","3","EDG",4,20
25,"3","7","2","EDG",4,11
25,"3","8","2","EDG",4,10
26,"3","1","5","EDG",4,20
26,"3","2","2","EDG",4,20
26,"3","3","3","EDG",4,15
26,"3","4","2","EDG",4,0
26,"3","5","5","EDG",4,20
26,"3","6","4","EDG",4,20
26,"3","7","2","EDG",4,11
26,"3","8","2","EDG",4,10
27,"3","1","1","EDG",4,20
27,"3","2","5","EDG",4,15
27,"3","3","3","EDG",4,20
27,"3","4","2","EDG",4,40
27,"3","5","1","EDG",4,20
27,"3","6","4","EDG",4,15
27,"3","7","1","EDG",4,11
27,"3","8","2","EDG",4,10
28,"3","1","3","EDG",4,35
28,"3","2","5","EDG",4,20
28,"3","3","3","EDG",4,15
28,"3","4","2","EDG",4,15
28,"3","5","1","EDG",4,20
28,"3","6","1","EDG",4,17
28,"3","7","1","EDG",4,11
28,"3","8","2","EDG",4,10
29,"3","1","2","EDG",4,5
29,"3","2","5","EDG",4,25
29,"3","3","3","EDG",4,15
29,"3","4","2","EDG",4,15
29,"3","5","5","EDG",4,20
29,"3","6","1","EDG",4,20
29,"3","7","1","EDG",4,12
29,"3","8","2","EDG",4,5
15,"1","1","-1","ELG",4,25
15,"1","2","-1","ELG",4,40
15,"1","3","-1","ELG",4,20
15,"1","4","-1","ELG",4,40
15,"1","5","-1","ELG",4,25
15,"1","6","-1","ELG",4,10
15,"1","7","-1","ELG",4,0
15,"1","8","-1","ELG",4,10
16,"1","1","-1","ELG",4,5
16,"1","2","-1","ELG",4,30
16,"1","3","-1","ELG",4,30
16,"1","4","-1","ELG",4,35
16,"1","5","-1","ELG",4,20
16,"1","6","-1","ELG",4,15
16,"1","7","-1","ELG",4,5
16,"1","8","-1","ELG",4,10
17,"1","1","-1","ELG",4,5
17,"1","2","-1","ELG",4,35
17,"1","3","-1","ELG",4,30
17,"1","4","-1","ELG",4,40
17,"1","5","-1","ELG",4,20
17,"1","6","-1","ELG",4,35
17,"1","7","-1","ELG",4,0
17,"1","8","-1","ELG",4,15
18,"1","1","-1","ELG",4,10
18,"1","2","-1","ELG",4,30
18,"1","3","-1","ELG",4,15
18,"1","4","-1","ELG",4,40
18,"1","5","-1","ELG",4,20
18,"1","6","-1","ELG",4,10
18,"1","7","-1","ELG",4,20
18,"1","8","-1","ELG",4,15
19,"1","1","-1","ELG",4,18
19,"1","2","-1","ELG",4,30
19,"1","3","-1","ELG",4,15
19,"1","4","-1","ELG",4,40
19,"1","5","-1","ELG",4,20
19,"1","6","-1","ELG",4,15
19,"1","7","-1","ELG",4,16
19,"1","8","-1","ELG",4,15
20,"2","1","1","ELG",4,25
20,"2","2","5","ELG",4,30
20,"2","3","1","ELG",4,15
20,"2","4","2","ELG",4,40
20,"2","5","1","ELG",4,20
20,"2","6","3","ELG",4,20
20,"2","7","1","ELG",4,0
20,"2","8","1","ELG",4,10
21,"2","1","3","ELG",4,10
21,"2","2","5","ELG",4,35
21,"2","3","1","ELG",4,15
21,"2","4","2","ELG",4,40
21,"2","5","1","ELG",4,20
21,"2","6","1","ELG",4,20
21,"2","7","1","ELG",4,25
21,"2","8","1","ELG",4,10
22,"2","1","5","ELG",4,5
22,"2","2","5","ELG",4,20
22,"2","3","2","ELG",4,15
22,"2","4","2","ELG",4,40
22,"2","5","1","ELG",4,20
22,"2","6","2","ELG",4,30
22,"2","7","1","ELG",4,17
22,"2","8","1","ELG",4,10
23,"2","1","4","ELG",4,5
23,"2","2","5","ELG",4,15
23,"2","3","2","ELG",4,15
23,"2","4","2","ELG",4,40
23,"2","5","1","ELG",4,20
23,"2","6","1","ELG",4,20
23,"2","7","1","ELG",4,16
23,"2","8","1","ELG",4,10
24,"2","1","3","ELG",4,7
24,"2","2","5","ELG",4,30
24,"2","3","5","ELG",4,15
24,"2","4","2","ELG",4,40
24,"2","5","1","ELG",4,20
24,"2","6","1","ELG",4,17
24,"2","7","1","ELG",4,12
24,"2","8","1","ELG",4,10
25,"3","1","3","ELG",4,5
25,"3","2","2","ELG",4,20
25,"3","3","2","ELG",4,21
25,"3","4","4","ELG",4,40
25,"3","5","5","ELG",4,20
25,"3","6","3","ELG",4,20
25,"3","7","2","ELG",4,11
25,"3","8","2","ELG",4,10
26,"3","1","5","ELG",4,5
26,"3","2","2","ELG",4,25
26,"3","3","3","ELG",4,15
26,"3","4","2","ELG",4,0
26,"3","5","5","ELG",4,20
26,"3","6","4","ELG",4,15
26,"3","7","2","ELG",4,11
26,"3","8","2","ELG",4,10
27,"3","1","1","ELG",4,20
27,"3","2","5","ELG",4,25
27,"3","3","3","ELG",4,20
27,"3","4","2","ELG",4,0
27,"3","5","1","ELG",4,20
27,"3","6","4","ELG",4,15
27,"3","7","1","ELG",4,11
27,"3","8","2","ELG",4,10
28,"3","1","3","ELG",4,40
28,"3","2","5","ELG",4,25
28,"3","3","3","ELG",4,15
28,"3","4","2","ELG",4,15
28,"3","5","1","ELG",4,20
28,"3","6","1","ELG",4,18
28,"3","7","1","ELG",4,11
28,"3","8","2","ELG",4,5
29,"3","1","2","ELG",4,5
29,"3","2","5","ELG",4,0
29,"3","3","3","ELG",4,15
29,"3","4","2","ELG",4,15
29,"3","5","5","ELG",4,20
29,"3","6","1","ELG",4,20
29,"3","7","1","ELG",4,12
29,"3","8","2","ELG",4,15
15,"1","1","-1","EW",4,30
15,"1","2","-1","EW",4,0
15,"1","3","-1","EW",4,25
15,"1","4","-1","EW",4,0
15,"1","5","-1","EW",4,25
15,"1","6","-1","EW",4,10
15,"1","7","-1","EW",4,0
15,"1","8","-1","EW",4,10
16,"1","1","-1","EW",4,60
16,"1","2","-1","EW",4,0
16,"1","3","-1","EW",4,30
16,"1","4","-1","EW",4,0
16,"1","5","-1","EW",4,20
16,"1","6","-1","EW",4,15
16,"1","7","-1","EW",4,5
16,"1","8","-1","EW",4,10
17,"1","1","-1","EW",4,5
17,"1","2","-1","EW",4,0
17,"1","3","-1","EW",4,30
17,"1","4","-1","EW",4,0
17,"1","5","-1","EW",4,20
17,"1","6","-1","EW",4,35
17,"1","7","-1","EW",4,25
17,"1","8","-1","EW",4,15
18,"1","1","-1","EW",4,20
18,"1","2","-1","EW",4,35
18,"1","3","-1","EW",4,15
18,"1","4","-1","EW",4,0
18,"1","5","-1","EW",4,20
18,"1","6","-1","EW",4,15
18,"1","7","-1","EW",4,15
18,"1","8","-1","EW",4,15
19,"1","1","-1","EW",4,19
19,"1","2","-1","EW",4,35
19,"1","3","-1","EW",4,15
19,"1","4","-1","EW",4,0
19,"1","5","-1","EW",4,20
